Presence,Month,Beach,SST,Curr_Speed,Curr_Dir,WD_Speed,WD_Dir
0,Mar,Maroubra ,23.77483464,0.298972534,6.152887982,6.628553417,19.75905939
0,Mar,Maroubra ,23.75148798,0.555698398,6.812780859,9.317734626,22.7559782
0,Mar,Maroubra ,23.01217709,0.514176659,1.768666345,8.408741862,29.53029137
0,Mar,Maroubra ,22.80983937,0.518547555,3.475369047,6.404401542,22.38330312
0,Mar,Maroubra ,22.98883043,0.698814493,7.149845243,7.070010473,22.01107505
0,Mar,Maroubra ,22.14056846,0.633594024,4.392355385,6.970258351,26.68471637
0,Mar,Maroubra ,22.24173732,0.70439999,7.568397022,7.378906365,30.93254591
0,Mar,Maroubra ,22.83318603,0.750904312,11.51087333,5.943300717,31.13382429
0,Mar,Maroubra ,22.38181728,0.701887104,6.065077278,7.547772207,20.20435725
0,Mar,Maroubra ,22.584155,0.644369763,13.39124069,2.763601555,57.80003566
0,Mar,Maroubra ,24.10168788,0.588408022,6.133443453,6.511994731,24.13580888
0,Mar,Maroubra ,24.24176784,0.56268162,9.584934478,7.080720188,28.32287741
0,Mar,Maroubra ,23.80596352,0.427284963,11.07718721,5.033608968,24.77514057
0,Mar,Maroubra ,25.19898089,0.399946784,31.61609489,5.652289609,171.0410969
0,Mar,Maroubra ,25.14450535,0.265155446,35.53767779,8.706930093,159.3426671
0,Mar,Maroubra ,24.98107873,0.325249144,26.10823341,5.277170425,140.6270398
0,Mar,Maroubra ,24.71648325,0.384118816,9.327614511,6.553774374,22.91758456
0,Mar,Maroubra ,24.41297668,0.150076923,34.14247827,8.292173131,181.1966751
0,Mar,Maroubra ,25.19898089,0.132938151,44.44194187,8.523757047,165.1294728
0,Mar,Maroubra ,24.79430545,0.081576381,45.60628192,8.896830804,177.0973949
0,Mar,Maroubra ,24.44410556,0.129417553,175.9432621,8.517918667,195.6253783
0,Mar,Maroubra ,25.22232755,0.240539295,15.90545462,0.933338565,278.9892485
0,Mar,Maroubra ,24.89547431,0.355977711,6.893494893,3.980313494,27.72187634
0,Mar,Maroubra ,24.90325653,0.324271478,12.83294741,1.582924238,176.9822583
0,Mar,Maroubra ,25.5958741,0.444072103,14.77162149,2.329619586,73.0032216
0,Mar,Maroubra ,25.18341645,0.289150597,18.97040781,2.708269793,160.9465561
0,Mar,Maroubra ,25.45579414,0.652405505,18.77397315,5.585138134,210.7323846
0,Mar,Maroubra ,25.19119867,0.537070709,15.3550614,5.265974336,238.30247
0,Apr,Maroubra ,24.93438541,0.482170043,16.09483682,3.322929167,199.4076552
0,Apr,Maroubra ,24.71648325,0.393749449,7.88516957,5.779120672,5.75426663
0,Apr,Maroubra ,24.29624338,0.226638309,22.31718652,3.849674501,166.2645684
0,Apr,Maroubra ,24.070559,0.183927641,24.82161993,3.458746093,105.6372615
0,Apr,Maroubra ,23.8760035,0.114159216,15.187949,5.344764697,27.91976643
0,Apr,Maroubra ,23.58806137,0.246899457,359.6458897,10.03251888,16.85451697
0,Apr,Maroubra ,23.28455479,0.099099197,8.679086925,1.212703825,103.6632293
0,Apr,Maroubra ,23.25342591,0.074625088,74.82708465,3.813567577,153.2337276
0,Apr,Maroubra ,23.01217709,0.109773343,24.99764733,1.545335957,240.800035
0,Apr,Maroubra ,22.86431491,0.114265636,27.86544889,2.050078418,227.1877637
0,Apr,Maroubra ,22.89544379,0.062904415,11.4734785,3.386829461,270.463274
0,Apr,Maroubra ,22.75536384,0.132347977,176.8274986,5.705111223,163.0414836
0,Apr,Maroubra ,21.96935962,0.07977424,211.8659777,2.314883359,121.9199794
0,Apr,Maroubra ,21.93044852,0.050156314,299.5286718,3.449570673,27.59032627
0,Apr,Maroubra ,21.91488408,0.08631938,331.2602047,6.659087514,11.58457747
0,Apr,Maroubra ,22.03161738,0.087568979,349.3558122,0.467594786,116.6364033
0,Apr,Maroubra ,21.93044852,0.016125791,150.524111,7.448138951,189.1741496
0,Apr,Maroubra ,21.88375521,0.011788206,201.2505055,4.634795758,182.1574376
0,Apr,Maroubra ,22.08609292,0.035779617,351.6625556,2.037292362,190.9795769
0,Apr,Maroubra ,22.05496404,0.043807617,351.5876547,1.142710737,36.98741389
0,Apr,Maroubra ,22.02383516,0.118448386,342.9189781,3.296862915,355.4468309
0,Apr,Maroubra ,22.04718182,0.08087405,180.0,11.63294658,190.4471019
0,Apr,Maroubra ,21.74367525,0.263232538,185.1884149,10.57757267,168.4825853
0,Apr,Maroubra ,21.51020865,0.085744521,189.6299513,4.530869274,141.3350487
0,Apr,Maroubra ,21.54911975,0.038734469,9.981829288,1.222267921,116.5104578
0,Apr,Maroubra ,21.44016867,0.111926399,336.3706223,4.948281408,11.79780857
0,Apr,Maroubra ,21.55690197,0.14692626,345.9348922,5.755577442,12.53021364
0,Apr,Maroubra ,21.62694195,0.176320144,341.5336906,5.888998754,13.0468411
0,May,Maroubra ,21.58803085,0.081931257,275.9866641,5.905619736,355.9161833
0,May,Maroubra ,21.30787093,0.180019113,208.7810054,4.422384005,289.3263695
0,May,Maroubra ,20.9031955,0.1865762,206.9422674,6.108322725,305.3772415
0,May,Maroubra ,21.16000875,0.168869974,196.6992442,2.571311295,228.6748752
0,May,Maroubra ,21.16000875,0.184101501,196.9630686,2.926571549,349.6449921
0,May,Maroubra ,21.19891985,0.084813458,190.7842979,2.096335161,3.489758098
0,May,Maroubra ,21.36234647,0.03363688,11.51383118,2.997432316,15.05647143
0,May,Maroubra ,21.33121759,0.029299359,359.4031905,2.696290458,355.0410456
0,May,Maroubra ,21.30008871,0.162067366,0.755267845,8.988153078,349.3053923
0,May,Maroubra ,21.04327546,0.071899432,220.1792339,8.540097603,268.0428187
